address,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,PriceEstimate,RentEstimate,imgSrc
"14 Channel Vis, Newport Coast, CA 92657",Newport Coast,CA,92657,33.590073,-117.838425,34950000,12,7,14196,Single Family,33596700,101682,https://photos.zillowstatic.com/fp/3610fb156a451d2254a6a58b700621b6-p_e.jpg
1547 El Camino Del Teatro,La Jolla,CA,92037,32.829933,-117.25997,34750000.0,11.0,5.0,11239.0,Single Family,33402100.0,106316.0,https://photos.zillowstatic.com/fp/eff371ebb44171106c75b8e4a2eb7f4c-p_e.jpg
"6 Inspiration Poin, Laguna Niguel, CA 92677",Laguna Niguel,CA,92677,33.50018,-117.68854,33800000,15,9,20580,Single Family,32220800,97199,https://photos.zillowstatic.com/fp/0856a43c322efa62ed78f24f67ef77df-p_e.jpg
"18 Swimmers Poin, Newport Coast, CA 92657",Newport Coast,CA,92657,33.580666,-117.82153,31500000,11,6,11494,Single Family,,,https://photos.zillowstatic.com/fp/3aa601805fc98c0d3765f799caf07ba6-p_e.jpg
"15 Camel Point Dr, Laguna Beach, CA 92651",Laguna Beach,CA,92651,33.50726,-117.75043,30000000,5,4,5100,Single Family,26497100,85899,https://photos.zillowstatic.com/fp/caf7643ff90ba5d845d546f7bcc747cd-p_e.jpg
"1005 Laurel Way, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.08591,-118.414,30000000,13,10,15404,Single Family,26699700,115223,https://photos.zillowstatic.com/fp/f5bfebaaacaab831a6ed7dcfd292ff8a-p_e.jpg
"10702 Levico Way, Los Angeles, CA 90077",Los Angeles,CA,90077,34.097416,-118.451294,29995000,9,6,12586,Single Family,26572400,116658,https://photos.zillowstatic.com/fp/7e6a458a01a25fe14e0bee7befd9d97d-p_e.jpg
"1940 Bel Air Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.10434,-118.45118,29950000,15,8,17013,Single Family,26658600,112392,https://photos.zillowstatic.com/fp/ccb8cab61c0c11414c919be59f25e1c8-p_e.jpg
"31555 Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.039875,-118.86182,29900000,13,7,12000,Single Family,26976700,114046,https://photos.zillowstatic.com/fp/643ac00a47ee5cc173b4cbddf33f5f61-p_e.jpg
"9463 Sunset Blvd, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.087082,-118.40212,28900000,6,5,7029,Single Family,28054700,90516,https://photos.zillowstatic.com/fp/9f8e93f525b39c8003f67a1ae79c37b3-p_e.jpg
"6889 Dume Dr, Malibu, CA 90265",Malibu,CA,90265,34.012924,-118.80738,28500000,8,6,8500,Single Family,27463300,107565,https://photos.zillowstatic.com/fp/3119e81ccfcba8f45a50f9ca8c33128c-p_e.jpg
"11809 Ellice St, Malibu, CA 90265",Malibu,CA,90265,34.05322,-118.9586,28500000,12,6,16489,Single Family,25765500,100906,https://photos.zillowstatic.com/fp/e6e58394289759d69bfc052eaceb4475-p_e.jpg
"38 Linda Isle, Newport Beach, CA 92660",Newport Beach,CA,92660,33.61285,-117.90438,27900000,5,4,5900,Single Family,,,https://photos.zillowstatic.com/fp/1ba0fc3799936f4c70735284809e0e46-p_e.jpg
"32554 Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.039104,-118.88407,26495000,5,4,5232,Single Family,25466900,98880,https://photos.zillowstatic.com/fp/1072e9ee215f4928b451540210a685b0-p_e.jpg
"801 Tarcuto Way, Los Angeles, CA 90077",Los Angeles,CA,90077,34.083324,-118.45614,24995000,7,7,7473,Single Family,21877900,93382,https://photos.zillowstatic.com/fp/0f222fc7c3cd6910a360acc787fd4845-p_e.jpg
"31401 Mar Vista Ave, Laguna Beach, CA 92651",Laguna Beach,CA,92651,33.506886,-117.74048,24995000,8,5,12730,Single Family,23917200,71605,https://photos.zillowstatic.com/fp/c7c30fb63ab97438fee5538192cfd251-p_e.jpg
"1013 N Roxbury Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.08191,-118.42225,24950000,8,6,10039,Single Family,24759000,88447,https://photos.zillowstatic.com/fp/617d29c82b9b51bdede629efa1583d59-p_e.jpg
"32357 Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.04107,-118.87828,24950000,9,5,9975,Single Family,24220700,93931,https://photos.zillowstatic.com/fp/852968e5677c65ff3e8a31981c60ab34-p_e.jpg
"2938 Sandy Ln, Del Mar, CA 92014",Del Mar,CA,92014,32.973175,-117.269554,24900000,6,4,4349,Single Family,28501800,92309,https://photos.zillowstatic.com/fp/907a2bd0dba8317cf1eb2fe30e13d79d-p_e.jpg
"722 N Camden Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.076378,-118.41356,24500000,10,7,11446,Single Family,23644200,92183,https://photos.zillowstatic.com/fp/81ffccf88347f7a9a244b0fe15d2ede4-p_e.jpg
"917 Loma Vista Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.09335,-118.39916,23999000,13,7,11360,Single Family,22846400,87692,https://photos.zillowstatic.com/fp/ff300ec094e721bbb11cc8a1e1c9a215-p_e.jpg
"402 Doheny Rd, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.090427,-118.39711,23995000,5,5,6594,Single Family,21672300,92124,https://photos.zillowstatic.com/fp/801ac269d5e054a33f717432f1f85ce9-p_e.jpg
"1251 Shadow Hill Way, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.093212,-118.41479,23995000,7,5,9000,Single Family,23736400,78666,https://photos.zillowstatic.com/fp/eafac245ca77bf2f6253bcafb3c7c982-p_e.jpg
"1033 Somera Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.08954,-118.45875,23888000,7,6,12000,Single Family,22787700,91006,https://photos.zillowstatic.com/fp/8deb1e6f4da38e16596d95692b1fbe22-p_e.jpg
7310 Vista Del Mar Ave,La Jolla,CA,92037,32.83613,-117.28068,23800000.0,6.0,5.0,4900.0,Single Family,23500900.0,75358.0,https://photos.zillowstatic.com/fp/35c50555f634e596a602913ab0437717-p_e.jpg
"5385 Linea Del Cielo, Rancho Santa Fe, CA 92067",Rancho Santa Fe,CA,92067,33.009407,-117.21392,23500000,9,7,12800,Single Family,23933500,76142,https://photos.zillowstatic.com/fp/b7cac2c72c821268976cf2765a721ce7-p_e.jpg
"10710 Chalon Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.082603,-118.4493,23500000,12,8,,Single Family,23311100,91592,https://photos.zillowstatic.com/fp/cfffcaee5aa9118bb8114025428342ac-p_e.jpg
"74 Golden Eagle, Irvine, CA 92603",Irvine,CA,92603,33.620014,-117.79266,22900000,9,4,12225,Single Family,22530300,68220,https://photos.zillowstatic.com/fp/72090418f6964d1fbf9675784f2da7b8-p_e.jpg
"5228 Chelsea St, La Jolla, CA 92037",La Jolla,CA,92037,32.807457,-117.26379,22500000,8,5,7581,Single Family,24279100,77632,https://photos.zillowstatic.com/fp/784d826bd6b35bf0caa838fe9eaddfd0-p_e.jpg
1890 Spindrift Dr,La Jolla,CA,92037,32.85159,-117.26182,22500000.0,7.0,5.0,5129.0,Single Family,22308900.0,24075.0,https://photos.zillowstatic.com/fp/ff25b8b587aee25a914596b597f30cfb-p_e.jpg
"634 Stone Canyon Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.084267,-118.44355,22000000,5,7,7106,Single Family,,40930,https://photos.zillowstatic.com/fp/3e0072d5462fd93358a7efec9ff36e50-p_e.jpg
"1061 Loma Vista Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.097084,-118.399025,21995000,8,6,8800,Single Family,,52605,https://photos.zillowstatic.com/fp/d6c63d6a49c4d6b6867e3b9796bc6c39-p_e.jpg
2112 Ocean Front,Del Mar,CA,92014,32.967194,-117.26859,21950000.0,4.0,4.0,2000.0,Single Family,21874300.0,70128.0,https://photos.zillowstatic.com/fp/f1216c8e13fbd006d42285d76d0eabc8-p_e.jpg
"303 Vista De La Playa, La Jolla, CA 92037",La Jolla,CA,92037,32.834255,-117.2812,21750000,7,6,5098,Single Family,20036900,65936,https://photos.zillowstatic.com/fp/11693379cd61537150b586f87243a0c1-p_e.jpg
"5305 Carlsbad Blvd, Carlsbad, CA 92008",Carlsbad,CA,92008,33.1293,-117.33404,20000000,9,5,10000,Single Family,19402700,76070,https://photos.zillowstatic.com/fp/a84876a91bb29d84c5937a3b8e1ede57-p_e.jpg
"722 N Elm Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.084435,-118.40323,19999500,9,7,9063,Single Family,18255700,77536,https://photos.zillowstatic.com/fp/0b01457994568104b8282f40765b2c61-p_e.jpg
"1024 Summit Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.085426,-118.41992,19950000,9,7,12000,Single Family,19592700,76542,https://photos.zillowstatic.com/fp/d33b7a721cb5e546223dcae3683973d0-p_e.jpg
